Longitude,Latitude,depth_m, 14.May.15, 19.May.15, 22.May.15, 29.May.15, 5.Jun.15, 11.Jun.15, 17.Jun.15, 18.Jun.15, 19.Jun.15, 26.Jun.15, 27.Jun.15, 2.Jul.15, 10.Jul.15, 16.Jul.15, 24.Jul.15, 30.Jul.15, 7.Aug.15, 14.Aug.15, 20.Aug.15, 28.Aug.15, 3.Sep.15, 10.Sep.15, 16.Sep.15, 24.Sep.15, 1.Oct.15, 8.Oct.15, 15.Oct.15, 23.Oct.15, 30.Oct.15, 5.Nov.15, 12.Nov.15, 19.Nov.15, 1.Dec.15
-9432960,4774600,7.86,49.4299,40.3900,12.1294,44.8813,36.0979,35.3154,64.4702,76.6579,61.1984,30.6567,29.4303,40.9836,66.0087,41.4893,54.6059,58.8157,73.4308,64.8010,47.0205,78.0061,77.7603,82.2864,92.4820,68.6107,85.3754,77.9414,71.1140,67.6617,51.0693,48.9152,30.5951,30.8920,30.8188
-9432940,4774600,7.88,49.5044,40.3527,11.9656,44.7728,35.9339,35.2196,64.5785,76.8451,61.1747,30.4014,29.5360,40.7724,66.1487,41.2774,54.5362,58.6316,73.3856,64.6531,47.0813,77.8711,77.1280,82.2956,92.6000,67.7568,85.4897,77.7693,71.1937,67.5431,51.2673,48.8272,30.7633,30.8701,30.9199
-9432920,4774600,7.90,49.5726,40.3185,11.8162,44.6738,35.7837,35.1317,64.6774,77.0164,61.1531,30.1684,29.6326,40.5795,66.2769,41.0839,54.4721,58.4634,73.3446,64.5174,47.1367,77.7477,76.5513,82.3041,92.7070,66.9763,85.5941,77.6119,71.2659,67.4343,51.4476,48.7465,30.9168,30.8499,31.0122
-9432900,4774600,7.92,49.6338,40.2876,11.6820,44.5849,35.6482,35.0524,64.7662,77.1708,61.1338,29.9589,29.7195,40.4060,66.3923,40.9098,54.4140,58.3119,73.3078,64.3949,47.1863,77.6365,76.0335,82.3119,92.8023,66.2737,85.6882,77.4702,71.3303,67.3361,51.6093,48.6737,31.0546,30.8317,31.0949
-9432880,4774600,7.94,49.6879,40.2602,11.5636,44.5065,35.5282,34.9820,64.8444,77.3074,61.1167,29.7742,29.7964,40.2528,66.4945,40.7561,54.3622,58.1781,73.2754,64.2862,47.2300,77.5382,75.5772,82.3190,92.8857,65.6528,85.7714,77.3450,71.3867,67.2490,51.7514,48.6091,31.1760,30.8155,31.1677
-9432860,4774600,7.95,49.7345,40.2365,11.4615,44.4389,35.4244,34.9210,64.9118,77.4255,61.1020,29.6149,29.8628,40.1206,66.5828,40.6233,54.3171,58.0625,73.2476,64.1920,47.2676,77.4533,75.1844,82.3253,92.9570,65.1164,85.8432,77.2369,71.4350,67.1735,51.8735,48.5531,31.2806,30.8014,31.2304
-9432840,4774600,7.96,49.7736,40.2165,11.3760,44.3823,35.3370,34.8696,64.9683,77.5248,61.0897,29.4815,29.9185,40.0098,66.6570,40.5120,54.2789,57.9656,73.2243,64.1126,47.2991,77.3821,74.8558,82.3307,93.0161,64.6663,85.9035,77.1461,71.4750,67.1099,51.9754,48.5060,31.3681,30.7895,31.2827
-9432820,4774600,7.97,49.8050,40.2003,11.3073,44.3369,35.2665,34.8281,65.0136,77.6049,61.0798,29.3741,29.9634,39.9206,66.7169,40.4223,54.2478,57.8874,73.2057,64.0484,47.3243,77.3246,74.5919,82.3351,93.0632,64.3035,85.9521,77.0729,71.5069,67.0585,52.0571,48.4678,31.4385,30.7799,31.3247
-9432800,4774600,7.98,49.8289,40.1879,11.2552,44.3024,35.2127,34.7964,65.0480,77.6659,61.0723,29.2927,29.9976,39.8528,66.7625,40.3542,54.2240,57.8281,73.1916,63.9994,47.3434,77.2810,74.3920,82.3386,93.0986,64.0279,85.9890,77.0173,71.5309,67.0193,52.1189,48.4387,31.4918,30.7726,31.3564
-9432780,4774600,7.98,49.8453,40.1794,11.2194,44.2788,35.1758,34.7746,65.0715,77.7078,61.0672,29.2369,30.0210,39.8063,66.7938,40.3075,54.2076,57.7873,73.1819,63.9657,47.3565,77.2510,74.2550,82.3410,93.1227,63.8386,86.0144,76.9791,71.5473,66.9924,52.1611,48.4187,31.5283,30.7675,31.3782
