lagoslakeid,sampleyear,value,variable
211,1990,38.53740834,tn_umol
576,1990,141.7558887,tn_umol
582,1990,236.8308351,tn_umol
595,1990,91.93433262,tn_umol
603,1990,176.302641,tn_umol
620,1990,51.39186296,tn_umol
654,1990,276.5881513,tn_umol
681,1990,99.07209136,tn_umol
728,1990,182.2269807,tn_umol
760,1990,480.3711635,tn_umol
906,1990,14.70378301,tn_umol
913,1990,111.6345468,tn_umol
927,1990,195.2890792,tn_umol
940,1990,160.6709493,tn_umol
1005,1990,185.6531049,tn_umol
1018,1990,76.65952891,tn_umol
1130,1990,46.32405425,tn_umol
1133,1990,104.2112777,tn_umol
1173,1990,271.8772305,tn_umol
1177,1990,46.89507495,tn_umol
1203,1990,26.76659529,tn_umol
1257,1990,51.39186296,tn_umol
1319,1990,148.8222698,tn_umol
1320,1990,295.9314775,tn_umol
1419,1990,92.86224126,tn_umol
1437,1990,543.3261956,tn_umol
1483,1990,386.4382584,tn_umol
1498,1990,183.226267,tn_umol
1524,1990,175.089222,tn_umol
1632,1990,222.1984297,tn_umol
1643,1990,88.79371877,tn_umol
1645,1990,57.74446824,tn_umol
1654,1990,404.6395432,tn_umol
1695,1990,120.2712348,tn_umol
1712,1990,174.1613133,tn_umol
1747,1990,34.26124197,tn_umol
1869,1990,93.71877231,tn_umol
1904,1990,366.8094218,tn_umol
1966,1990,136.1884368,tn_umol
1981,1990,105.710207,tn_umol
2135,1990,53.24768023,tn_umol
2170,1990,135.0463954,tn_umol
2266,1990,188.4368308,tn_umol
2271,1990,703.5688794,tn_umol
2296,1990,146.6095646,tn_umol
2458,1990,116.773733,tn_umol
2501,1990,122.2698073,tn_umol
2531,1990,367.0949322,tn_umol
2681,1990,126.2669522,tn_umol
2732,1990,217.130621,tn_umol
2740,1990,208.6366881,tn_umol
2856,1990,161.3847252,tn_umol
2864,1990,294.3611706,tn_umol
2937,1990,225.0535332,tn_umol
2991,1990,246.0385439,tn_umol
3102,1990,295.5745896,tn_umol
3131,1990,111.420414,tn_umol
3146,1990,228.3369022,tn_umol
3182,1990,220.9850107,tn_umol
3199,1990,78.65810136,tn_umol
3203,1990,85.36759458,tn_umol
3263,1990,342.9693076,tn_umol
3365,1990,82.44111349,tn_umol
3464,1990,123.8401142,tn_umol
3481,1990,108.2798001,tn_umol
3649,1990,191.9343326,tn_umol
3651,1990,47.751606,tn_umol
3691,1990,593.8615275,tn_umol
3861,1990,288.2940757,tn_umol
3953,1990,304.0685225,tn_umol
4002,1990,90.29264811,tn_umol
4032,1990,134.4753747,tn_umol
4120,1990,126.9093505,tn_umol
4137,1990,183.4403997,tn_umol
4186,1990,188.7937188,tn_umol
4467,1990,124.1970021,tn_umol
4625,1990,22.19842969,tn_umol
4664,1990,16.53580776,tn_umol
4722,1990,14.72757554,tn_umol
5002,1990,166.3097787,tn_umol
5248,1990,26.26695218,tn_umol
5293,1990,39.61456103,tn_umol
5371,1990,91.60123721,tn_umol
5724,1990,74.58957887,tn_umol
5726,1990,37.11634547,tn_umol
6059,1990,48.53675946,tn_umol
6061,1990,66.02426838,tn_umol
6063,1990,64.23982869,tn_umol
6064,1990,111.3490364,tn_umol
6068,1990,55.6745182,tn_umol
6070,1990,67.45182013,tn_umol
6071,1990,52.8194147,tn_umol
6075,1990,27.12348323,tn_umol
6076,1990,35.68879372,tn_umol
6181,1990,45.68165596,tn_umol
6185,1990,100.6423983,tn_umol
6188,1990,53.89007852,tn_umol
6189,1990,92.43397573,tn_umol
6190,1990,68.165596,tn_umol
6192,1990,84.22555318,tn_umol
6199,1990,49.96431121,tn_umol
6201,1990,77.08779443,tn_umol
6207,1990,63.16916488,tn_umol
6208,1990,27.48037116,tn_umol
6213,1990,38.18700928,tn_umol
6217,1990,62.09850107,tn_umol
6218,1990,56.38829408,tn_umol
6220,1990,57.10206995,tn_umol
6221,1990,52.10563883,tn_umol
6298,1990,67.09493219,tn_umol
6299,1990,26.05281941,tn_umol
6301,1990,33.90435403,tn_umol
6303,1990,34.26124197,tn_umol
10987,1990,23.55460385,tn_umol
11123,1990,42.11277659,tn_umol
23670,1990,69.95003569,tn_umol
24707,1990,49.96431121,tn_umol
25625,1990,25.69593148,tn_umol
25760,1990,43.1834404,tn_umol
25980,1990,32.35783964,tn_umol
26660,1990,46.39543183,tn_umol
28665,1990,28.19414704,tn_umol
30918,1990,42.11277659,tn_umol
30935,1990,36.40256959,tn_umol
31993,1990,49.96431121,tn_umol
36107,1990,37.4732334,tn_umol
39362,1990,16.77373305,tn_umol
39489,1990,34.97501784,tn_umol
40387,1990,51.39186296,tn_umol
40610,1990,46.39543183,tn_umol
42413,1990,70.66381156,tn_umol
43622,1990,14.27551749,tn_umol
45620,1990,63.52605282,tn_umol
46662,1990,38.54389722,tn_umol
49620,1990,25.33904354,tn_umol
49938,1990,32.07232929,tn_umol
51869,1990,60.31406138,tn_umol
55007,1990,93.50463954,tn_umol
55761,1990,87.43754461,tn_umol
56019,1990,56.38829408,tn_umol
63080,1990,60.31406138,tn_umol
66336,1990,33.19057816,tn_umol
73287,1990,48.17987152,tn_umol
78634,1990,39.61456103,tn_umol
80721,1990,37.4732334,tn_umol
86932,1990,78.15845824,tn_umol
86937,1990,113.847252,tn_umol
88095,1990,23.19771592,tn_umol
99307,1990,41.75588865,tn_umol
101415,1990,54.96074233,tn_umol
102576,1990,61.74161313,tn_umol
107503,1990,90.29264811,tn_umol
107694,1990,118.4867951,tn_umol
111865,1990,41.39900071,tn_umol
113702,1990,24.9821556,tn_umol
113873,1990,21.41327623,tn_umol
115040,1990,28.19414704,tn_umol
115959,1990,40.3283369,tn_umol
119108,1990,99.92862241,tn_umol
120948,1990,31.45372353,tn_umol
121089,1990,53.53319058,tn_umol
122138,1990,41.75588865,tn_umol
